loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
15000,15000,15000, 36 months,0.0991,483.38,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/15/11 > Using to pay off existing loans and credit card debt<br><br>  Borrower added on 12/16/11 > All are of a higher interest rate so this interest rate is substantionaly lower giving me peace of mind..<br><br>  Borrower added on 12/18/11 > My job is very stable and I have seniority over more than 80% of the workforce which makes it highly unlikely for me to get laid off..I made it through the 2008 economic downturn without a beat and I still have unlimited overtime oppurtunity<br>,debt_consolidation,Debt Consolidation Loan,616xx,IL,9.12,0,Apr-92,2,,,9,0,11845,63.70%,28,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,14-Oct,483.38,16-Oct
12000,12000,12000, 36 months,0.1596,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000,Not Verified,11-Dec,Charged Off,,car,Car Loan,914xx,CA,20.88,0,6-Oct,2,,,11,0,15793,90.80%,11,3531.77,3531.77,1903.66,1039.35,0,588.76,5.49,12-Aug,421.65,18-Jul
21000,21000,20975, 60 months,0.1991,555.33,E,E4,Costco,7 years,RENT,50000,Verified,11-Dec,Charged Off,  Borrower added on 12/20/11 > consolidation  of credit cards.<br>,debt_consolidation, Bill pay of,980xx,WA,21.58,0,Sep-98,1,,,7,0,19448,97.60%,14,18325.89,18304.09,8990.81,9328.33,0,6.75,0,14-Oct,555.33,17-Feb
10000,10000,9975, 60 months,0.1065,215.69,B,B2,CEC ENTERTAINMENT INC,10+ years,RENT,45996,Verified,11-Dec,Charged Off,,debt_consolidation,Consolidation,440xx,OH,21.73,0,May-97,1,,,7,0,11170,30.10%,15,8772.91,8751.08,5495.38,2429.23,1,847.3,152.514,15-Apr,1,16-Oct
12500,8925,8925, 60 months,0.1727,223.11,D,D3,grandma kitchen,5 years,RENT,30000,Source Verified,11-Dec,Charged Off,  Borrower added on 12/16/11 > So I can pay all my bills so I will have just one monthy payment .<br>,debt_consolidation,allen,559xx,MN,13.16,0,Apr-95,0,,113,7,1,9844,70.80%,28,5577.75,5577.75,2812.82,2742.43,0,22.5,0,14-Feb,223.11,19-Mar
8200,8200,8200, 60 months,0.2128,223.14,F,F2,autozone,4 years,RENT,75000,Source Verified,11-Dec,Charged Off,  Borrower added on 12/15/11 > Business/credit card<br>,small_business,Small_Business Loan,912xx,CA,12.48,0,Jan-00,3,,,6,0,9012,73.90%,11,4177.11,4177.11,1525.83,2265.85,0,385.43,3.6,13-Jun,223.14,16-Oct
6400,6400,6400, 36 months,0.1677,227.45,D,D2,"Riverside County, California",5 years,RENT,75000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/14/11 > Debt consolidation<br>,debt_consolidation,Help,923xx,CA,20.22,0,Dec-94,0,48,,9,0,7159,67.50%,27,4776.45,4776.45,3334.25,1431.91,0,10.29,0,13-Oct,227.45,17-Apr
17500,17500,17500, 60 months,0.1727,437.47,D,D3,Travelers Insurance,7 years,MORTGAGE,45000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/14/11 > Pay off credit card debit<br>,credit_card,Debit Free,992xx,WA,21.31,0,2-Sep,2,,,13,0,20129,86.10%,26,10037.7,10037.7,3077.85,3473.25,0,3486.6,625.617,13-Apr,437.47,16-Oct
6200,6200,6200, 36 months,0.0991,199.8,B,B1,Sunrise Senior Living,2 years,RENT,25000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/14/11 > This loan will consolidate a current personal loan from Wells Fargo and a high rate chase visa card. The money currently alotted to those obligations will be used towards payment of this loan.<br>,debt_consolidation,Wells/Chase ReFi,902xx,CA,20.64,0,May-98,2,,,7,0,6533,47.70%,12,2456.33,2456.33,1700.79,493.16,0,262.38,2.54,12-Dec,199.8,16-Oct
18825,18825,18800, 60 months,0.1677,465.53,D,D2,Texas Health & Human Services Commission,10+ years,RENT,38000,Verified,11-Dec,Charged Off,,debt_consolidation,Coledon's Club Loan,787xx,TX,23.18,0,4-Dec,0,,,6,0,11004,79.70%,7,18749.25,18724.53,8087.75,6786.71,0,3874.79,670.8193,14-Sep,465.53,18-Aug
10000,10000,10000, 36 months,0.1825,362.78,D,D5,Gucci Group/ Yves Saint Laurent,1 year,RENT,75000,Source Verified,11-Dec,Charged Off,,credit_card,Credit Card,900xx,CA,24.14,0,Mar-97,0,77,,9,0,22828,96.30%,26,11730.6,11730.6,8320.22,3145.08,36.24699818,229.06,2.2906,15-Jan,200,16-Oct
25000,25000,23088.16106, 60 months,0.1349,575.12,C,C1,Midnight,10+ years,MORTGAGE,67000,Verified,11-Dec,Charged Off,"  Borrower added on 12/13/11 > Pay off my credit card, finish my house to refinance,appraised two years ago at $200.000 from an appraiser, <br>",credit_card,"Pay off credit card, refinance house",996xx,AK,14.15,0,Aug-99,0,28,,6,0,15319,91.20%,21,23880.65,20309.6,13833.2,8008.11,28.76,2010.58,361.9044,15-Mar,1179,16-Oct
19750,19750,19725, 36 months,0.1065,643.33,B,B2,"PACIFIC WOOD LAMINATES, INC.",4 years,RENT,45000,Verified,11-Dec,Charged Off,"  Borrower added on 12/13/11 > I have a very stable job/ I am a good borrower because I pay my bills on time in the fastest way that I can; and my credit score shows that I care about my credit, and I care about improving my credit. <br>",debt_consolidation,CONSOLIDATION,974xx,OR,22.8,0,Sep-00,0,56,,12,0,16576,54.20%,28,11931.23,11916.2,8590.58,2698.78,0,641.87,6.412899997,13-Sep,787.01,16-Oct
28000,11800,11775, 60 months,0.1991,312.04,E,E4,American Airlines,10+ years,RENT,52000,Verified,11-Dec,Charged Off,"  Borrower added on 12/13/11 > Have cut up all credit cards and now trying to get one payment and one interest amount, instead of several payments with interests on them.<br> Borrower added on 12/14/11 > Have already gotten rid of all but one credit card to be held for emergency and to hold a hotel room if needed (usually pay for hotel room or rental car in cash on check out or returning the car).<br><br> Borrower added on 12/14/11 > To those who asked question, I am hoping the wording of my answers make sense. <br><br>  Borrower added on 12/23/11 > Thank you to those who have invested in me so far.<br>",debt_consolidation,Debt Consalidation,752xx,TX,20.7,0,Dec-88,0,,,10,0,29178,87.60%,16,12181.32,12155.52,4281.54,4759.37,0,3140.41,563.7888,14-Jun,312.04,16-Oct
24000,24000,24000, 36 months,0.1596,843.3,C,C5,lafidale inc,8 years,MORTGAGE,90000,Source Verified,11-Dec,Charged Off,,home_improvement,home improve,927xx,CA,9.17,0,Jun-95,1,,,9,0,30952,71.20%,23,5903.1,5903.1,3813.57,2082.11,0,7.42,0,12-Aug,843.3,16-Nov
11100,11100,11100, 36 months,0.0662,340.82,A,A2,Aetna ,10+ years,RENT,41000,Verified,11-Dec,Charged Off,  Borrower added on 12/13/11 > I could really use the help to help pay down my credit card.  The interest rate on it is high.  I also need the help because I have been going back to college and my card has been financing that for the past 6 years.   Any help given would begreatly appreciated.<br>,credit_card,Help me out,194xx,PA,29.85,0,Jan-91,1,,,8,0,17518,62.30%,18,8124.54,8124.54,6516.79,976.85,0,630.9,6.265000001,13-Nov,340.82,16-Oct
12000,12000,12000, 36 months,0.0991,386.7,B,B1,Luxottica Retail,2 years,RENT,42000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/14/11 > I will be using the money to pay off higher interest credit cards.I have always paid my bills on time and most of the time in full. I always stay within my monthly budget. I have been at my current job for almost 2 years.<br>,debt_consolidation,Consolidation,553xx,MN,7.83,0,6-Jun,2,,,8,0,9749,65.40%,16,11242.49,11242.49,9011.72,1807.88,0,422.89,4.148900002,14-May,386.7,16-Oct
10000,10000,10000, 36 months,0.1171,330.76,B,B3,karl strauss brewing company,8 years,RENT,60000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/13/11 > credit card consolodation<br>,debt_consolidation,consolidation loan,921xx,CA,22.08,0,1-Jul,0,,,8,0,5626,29.30%,26,6002.38,6002.38,4293.91,1388.86,0,319.61,57.5028,13-Jul,62.38,16-Oct
13475,13475,13450, 60 months,0.1349,309.99,C,C1,vons,10+ years,RENT,25000,Verified,11-Dec,Charged Off,  Borrower added on 12/15/11 > Bills<br>,credit_card,Bills,917xx,CA,21.89,0,1-Dec,1,,,7,0,9943,65.80%,14,6199.8,6188.35,3516.74,2682.15,0,0.91,0,13-Oct,28,19-Mar
5600,5600,5600, 36 months,0.1465,193.17,C,C3,O'Reilly Auto Parts,1 year,MORTGAGE,85000,Not Verified,11-Dec,Charged Off,,debt_consolidation,Debt Consolidation,850xx,AZ,12.24,1,May-99,3,11,,8,0,6812,90.80%,31,1352.19,1352.19,905.39,445.47,0,1.33,0,12-Aug,193.17,19-Mar
2500,2500,2500, 36 months,0.0751,77.78,A,A3,,n/a,OWN,12000,Source Verified,11-Dec,Charged Off,  Borrower added on 12/13/11 > TO CONSOLIDATE BILLS<br><br> Borrower added on 12/13/11 > TO CONSOLIDATE MY BILLS<br> Borrower added on 12/14/11 > FOR CREDIT CARD PAY OFF <br><br> Borrower added on 12/14/11 > FOR DEBT CONSOLIDATION<br>,debt_consolidation,GET FREE OF DEBT,961xx,CA,16.3,0,Aug-94,2,,,13,0,4853,42.20%,20,1838.88,1838.88,1575.06,253.74,0,10.08,0,13-Dec,77.78,19-Mar
10000,10000,10000, 36 months,0.1349,339.31,C,C1,Edgestone Real Estate,5 years,RENT,65000,Not Verified,11-Dec,Charged Off,,small_business,Small Business Loan,927xx,CA,6.92,1,Dec-99,2,19,,12,0,14292,69.50%,17,9270.84,9270.84,6799.56,2011.75,0,459.53,4.4878,14-Mar,339.31,16-Oct
7750,7750,7750, 36 months,0.1727,277.36,D,D3,US Bank,< 1 year,RENT,24000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/13/11 > Using money to payoff title loan to sell a vehicle to then payoff this loan.<br> Borrower added on 12/14/11 > I work at a bank full time and starting school part time in January and am trying to sell one of two vehicles that I own to have extra money for debt consolidation and a new laptop.<br>,debt_consolidation,Payoff Loan,601xx,IL,16.1,0,4-Sep,1,41,,4,0,2348,67.10%,7,6934,6934,4935.39,1986.7,0,11.91,0,14-Jan,277.36,19-Mar
20000,20000,20000, 60 months,0.2089,539.84,F,F1,Independent Imaging,6 years,RENT,70000,Source Verified,11-Dec,Charged Off,"  Borrower added on 12/13/11 > I need help to pay off my credit cards fast and just have one monthly bill.<br><br>  Borrower added on 12/14/11 > As I mentioned before, I need the loan to consolidate my debt. I was going through a difficult situation and had to rely on credit cards. Now that situation has passed and I would like to pay them all off and stay with one monthly payment. I have a stable job in the medical field.<br>",debt_consolidation,Loan to pay off Credit cards,334xx,FL,16.63,0,2-Nov,1,,,10,0,10470,79.90%,24,5427.53,5427.53,1318.27,3034.08,0,1075.18,10.48,12-Oct,591.09,16-Oct
21000,21000,21000, 60 months,0.1171,464.07,B,B3,Calix,3 years,RENT,60000,Not Verified,11-Dec,Charged Off,,debt_consolidation,Consolidate me 2011,931xx,CA,6.62,0,Dec-90,0,,,7,0,10543,79.90%,11,3712.56,3712.56,2142.87,1565.37,0,4.32,0,12-Aug,464.07,12-Aug
15000,15000,15000, 36 months,0.1677,533.08,D,D2,Schneider National Inc,10+ years,RENT,42000,Verified,11-Dec,Charged Off,,debt_consolidation,Debt Consolidation Loan,543xx,WI,19.63,0,1-Aug,2,,,10,0,8238,74.90%,38,13373.77,13373.77,8365.66,3923.4,0,1084.71,40.78310001,14-Apr,188.69,16-Oct
15000,15000,15000, 36 months,0.1727,536.81,D,D3,Santa Clara County Public Defender,8 years,RENT,75000,Source Verified,11-Dec,Charged Off,,debt_consolidation,debt consolidation,951xx,CA,16.03,0,Mar-91,0,48,,10,0,13505,75.90%,17,10199.39,10199.39,6944.85,3238.39,0,16.15,5.64,13-Aug,536.81,19-Mar
16000,16000,16000, 36 months,0.1269,536.72,B,B5,Marsh,1 year,RENT,58500,Source Verified,11-Dec,Charged Off,  Borrower added on 12/13/11 > This money will pay off my higher interest credit cards.  At that point I will be cutting up my cards and living off of a steady income while easily making the payments for this monthly.  This will truly balance my budget.<br>,debt_consolidation,Consolidation,606xx,IL,20.64,0,Sep-94,0,,,8,0,26224,89.30%,10,12295.72,12295.72,9479.47,2778.95,26.83551087,10.47,1.779900003,14-May,528.58,18-Aug
12000,12000,12000, 36 months,0.1427,411.71,C,C2,Corning Inc.,8 years,MORTGAGE,70000,Not Verified,11-Dec,Charged Off,,other,Debt Consolidation Loan,148xx,NY,8.4,0,5-Aug,1,,,7,0,11546,86.20%,12,4249.37,4249.37,2534.26,1163.48,0,551.63,5.32,12-Oct,411.71,16-Oct
13650,13650,13650, 36 months,0.1242,456.12,B,B4,ITT Aerospace Controls,10+ years,MORTGAGE,86000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/13/11 > Eliminate credit cards and reduce rate on existing balances.  Costs incurred assisting 3 children through college.  Children have all graduated and it's time to pay off the debts.<br>,debt_consolidation,Debt Consolidation,913xx,CA,12.29,0,May-94,1,,,12,0,16140,73.40%,34,8204.31,8204.31,5810.73,1931.92,0,461.66,4.64,13-May,456.12,13-Oct
10500,10500,10500, 36 months,0.1629,370.66,D,D1,Butte Community College,3 years,RENT,30000,Source Verified,11-Dec,Charged Off,,debt_consolidation,Personal,959xx,CA,15,0,7-Nov,1,,,7,0,5379,55.50%,8,2223.96,2223.96,1414.89,807.27,0,1.8,0,12-Jul,370.66,17-Feb
15075,15075,15075, 36 months,0.1427,517.21,C,C2,JPMorgan Chase Bank,10+ years,RENT,35000,Verified,11-Dec,Charged Off,,debt_consolidation,Debt Consolidation Loan,770xx,TX,20.16,0,Aug-00,1,,,7,0,10570,89.60%,14,15502.77,15502.77,11609.04,3374.45,0,519.28,5.036800002,14-Jun,517.21,16-Oct
9500,9500,9500, 36 months,0.1269,318.68,B,B5,San Diego Unified School District,< 1 year,MORTGAGE,52500,Source Verified,11-Dec,Charged Off,"  Borrower added on 12/13/11 > I just got a new job in a different state and have recently moved. I have had many moving costs that were not reimbursed by my work, and I am trying to pay down the balance. My job is very stable. I am a responsible borrower and have always paid my bills and mortgage on time. Thank you for your support.<br>",moving,Moved to California,921xx,CA,23.54,0,Jul-99,2,,,14,0,23729,75.30%,42,7010.96,7010.96,5366.65,1635.51,0,8.8,0,13-Nov,318.68,19-Mar
7200,7200,7200, 36 months,0.079,225.29,A,A4,"St. Mary's Health Care System, Inc.",3 years,RENT,68000,Source Verified,11-Dec,Charged Off,,debt_consolidation,Bank of America Pay-Off Loan,306xx,GA,7.98,0,2-Jan,0,,,5,0,8783,82.90%,14,7738.96,7738.96,6744.17,907.62,14.97905838,72.19,11.538,14-Nov,225.29,16-Oct
26000,26000,25975, 60 months,0.1677,642.96,D,D2,PepsiCo,10+ years,MORTGAGE,53000,Verified,11-Dec,Charged Off,"  Borrower added on 12/16/11 > This is a home improvement that I'm planning to make. I'm also planning to consolidate some credit card debt of $12,000. The rest will go towards home improvements and repairs. Thank you for the consideration.<br>",home_improvement,Home Improvement,271xx,NC,11.77,0,Sep-98,1,,,5,0,7560,72.70%,14,9626.02,9616.87,3946.3,4391.9,0,1287.82,12.27,13-Feb,642.96,16-Oct
7000,7000,6975, 60 months,0.1171,154.69,B,B3,WA State vDSHS,6 years,MORTGAGE,69600,Verified,11-Dec,Charged Off,,credit_card,Debt consolidation,981xx,WA,26.22,0,Oct-79,0,,,10,0,45449,90.90%,23,6143.14,6121.2,3452.36,1790.2,0,900.58,156.0204,14-Oct,154.69,16-Oct
10000,10000,10000, 36 months,0.1269,335.45,B,B5,nor cal beverage,2 years,RENT,70000,Not Verified,11-Dec,Charged Off,"  Borrower added on 12/12/11 > I plan to use my loan to pay off other credit cards that have a higher interest rate.  I am a good borrower because I pay my bills on time and they are not late.  My monthly bills add up to $1,850.00.  My job is very stable, I work in a company that has a high demand for the product that I make.<br>",credit_card,credit cards,956xx,CA,2.69,0,Oct-00,0,,,5,0,6035,70.20%,6,6352.74,6352.74,4513.35,1505.13,0,334.26,3.1464,13-Jul,335.45,16-Oct
15600,15600,15600, 60 months,0.1269,352.48,B,B5,corbett industries,10+ years,RENT,50000,Source Verified,11-Dec,Charged Off,,vacation,vacation loan,109xx,NY,5.78,0,3-Jun,1,,,8,0,8079,35.70%,11,17152.34,17152.34,11631.87,5262.21,0,258.26,46.4868,16-Jan,352.48,17-Oct
4000,4000,4000, 36 months,0.1269,134.18,B,B5,XOXO Salon,2 years,RENT,25000,Not Verified,11-Dec,Charged Off,,debt_consolidation,Car loan,802xx,CO,6.86,0,5-Feb,3,,,5,0,8546,79.70%,13,2029.25,2029.25,1373.86,498.22,0,157.17,1.55,13-Mar,134.18,16-Oct
10000,10000,10000, 36 months,0.1242,334.16,B,B4,First National Bank of St. Louis,10+ years,RENT,39000,Source Verified,11-Dec,Charged Off,,credit_card,credit card consolidation,630xx,MO,18.31,0,Aug-98,1,,,7,0,11691,90.60%,19,11604.88,11604.88,9635.96,1956.9,0,12.02,0,14-Apr,4378.02,18-Aug
12000,12000,12000, 36 months,0.089,381.04,A,A5,"Time Escrow, Inc.",7 years,RENT,80000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/13/11 > Im just trying to consolidate my credit card debts. <br>,other,credit card consolidating,900xx,CA,9.13,0,3-Oct,0,,,8,0,13088,83.50%,16,10411.4,10411.4,8330.52,1564.56,0,516.32,5.0436,14-Mar,381.04,16-Oct
16000,16000,16000, 60 months,0.1349,368.08,C,C1,,10+ years,RENT,35000,Verified,11-Dec,Charged Off,,small_business,Small Business,274xx,NC,16.22,0,2-Jul,1,,,6,0,19184,58.50%,14,10351.24,10351.24,5147.59,3678.41,0,1525.24,15.1732,14-Jan,368.08,16-Oct
11875,11875,11875, 60 months,0.1269,268.32,B,B5,Guardsmark,< 1 year,RENT,25920,Source Verified,11-Dec,Charged Off,"  Borrower added on 12/13/11 > I need this loan to start a better life for myself and get back on track. <br> Borrower added on 12/14/11 > -I am a great borrower, because I am hard working. I also have the cash to make payments every month with ease.<br>-my monthly budget $2,256<br>-I have a steady job in securty<br><br>  Borrower added on 12/19/11 > I really need this loan to make a better future for myself. To pay off debt and have cost of living stability.<br>",debt_consolidation,Debt Consolidation Loan,941xx,CA,23.75,0,1-Apr,0,,,8,0,13932,94.10%,28,1187.65,1187.65,285.76,248.58,0,653.31,117.1818,12-Mar,268.32,16-Oct
14000,14000,14000, 36 months,0.079,438.07,A,A4,interim health care,10+ years,OWN,45600,Not Verified,11-Dec,Charged Off,,debt_consolidation,debt consolidation,265xx,WV,19.74,0,Jun-92,0,,,5,0,15846,63.90%,10,6132.98,6132.98,5053.24,1077.08,0,2.66,0,13-Mar,438.07,19-Mar
8000,8000,8000, 36 months,0.1629,282.41,D,D1,St. Rose San Martin,5 years,RENT,50000,Not Verified,11-Dec,Charged Off,,credit_card,credit debt,891xx,NV,13.22,0,5-Nov,0,,,9,0,5106,72.90%,12,4535,4535,2798.78,1436.44,0,299.78,3.09,13-Apr,287.45,16-Oct
30000,30000,28673.79652, 60 months,0.1242,673.72,B,B4,,3 years,RENT,70000,Source Verified,11-Dec,Charged Off,"  Borrower added on 12/11/11 > I am self-employed LLC company with 3 years experience. I have new product for my business and I need starting money to make patent, manufacturing and advertising. I already have working prototype and estimated price to make my new product.<br>",small_business,Patent and manufacturing.,773xx,TX,0.94,0,6-Jul,0,,,7,0,1159,3.20%,14,17183.47,14859.15,8464.18,5679.62,33.68658497,3005.98,30.0166,13-Oct,673.72,16-Oct
18000,18000,18000, 60 months,0.1677,445.13,D,D2,Old Republic Home Protection,6 years,OWN,40000,Not Verified,11-Dec,Charged Off,  Borrower added on 12/11/11 > Personal Loan<br> Borrower added on 12/13/11 > Personal Loan<br>,home_improvement,Personal Loan,945xx,CA,18.42,0,Nov-00,3,,,7,0,11147,73.40%,20,11229.37,11229.37,4677.94,4651.94,0,1899.49,18.8164,13-Oct,445.13,16-Oct
20000,20000,19975, 60 months,0.203,533.23,E,E5,federal,10+ years,OWN,59000,Verified,11-Dec,Charged Off,"  Borrower added on 12/13/11 > I will pay of bills.<br><br> Borrower added on 12/13/11 > I am in a very good job, i am not  n any danger in losing it. I have always try my best to pay in a timely matter.  I have paid off several  debts of early in my years.  I am a very honest and trustfully person.  You can as me any questions I will try my best to answer it in my best to my knowledge.  <br><br> Borrower added on 12/13/11 > thanks to the people who has put faith into me. you wont be sorry.<br><br> Borrower added on 12/14/11 > Thank you again in believeing in me. I promise not ro let you down. thanks again for your support.<br><br> Borrower added on 12/14/11 > thank you all for your support<br><br><br> Borrower added on 12/15/11 > thank you to all the investors. You won't be sorry.  however I need atleast 2/3 of my request amount.  Im not being unappectaned, i promise you I won't let you down<br><br> Borrower added on 12/15/11 > I got a emial stateing I had a question from a investor, But I don't see it<br><br> Borrower added on 12/15/11 > oh thank you so much, to those who just put their trust in me.  Merry Christmas.<br><br> Borrower added on 12/16/11 > i dont know if the message went tho  I want to express my feeling to all the investors  Merry Christmas and bless you all!!<br><br>  Borrower added on 12/19/11 > I recieved a email telling me I had a question form a lender.  I went online and i don&quot;t see one.<br><br> Borrower added on 12/19/11 > I want to give my blessing to all the new investors, that have faith in me.  I promise you won't be sorry.<br><br> Borrower added on 12/19/11 > nevermind, i found the questions.<br><br>  Borrower added on 12/20/11 > The amount I will receive is turely a blessing. you are all good people. thank you for making this time of yr and easier to relax and maybe not worry about the coming year.  GOD BLESS YOU ALL.<br><br>  Borrower added on 12/21/11 > it almost the end, I would like to thank all of you for the support.  I would like more, however, the amount i get for this loan, will come in handing, please consider to support me a little more. Thank you<br>",debt_consolidation,life changing,997xx,AK,20.91,0,Aug-00,2,,,16,0,32137,83.10%,32,16063.42,16043.48,6317.7,7790.84,0,1954.88,19.5488,14-Mar,281.46,16-Oct
9000,9000,9000, 60 months,0.1991,238,E,E4,Responsive Learning Technologies,3 years,RENT,60000,Verified,11-Dec,Charged Off,,credit_card,Cards,950xx,CA,22.56,0,Dec-97,1,,,17,0,21321,91.10%,30,5236,5236,2327.73,2899.91,0,8.36,0,13-Oct,238,19-Mar
